,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,NAO,NAO,NAO,NAO,NAO,NAO,NAO,NAO,1,1,1,1,2,2,2,2,3,3,3,3,NAO_1,NAO_1,NAO_1,NAO_2,NAO_2,NAO_2,NAO_3,NAO_3,NAO_3
,,"AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","AE07894F6B3011E8918BAF18100026B2","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573200000003"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
32,0.266667,-0.000005,0.000043,0.000158,1.000000,0.286934,0.552884,-0.837674,0.000043,0.227665,0.554410,-0.781238,0.906473,0.288449,0.549748,-0.879071,0.955040,0.344688,0.554494,-0.852711,0.881286,0.227691,0.554412,-0.781257,0.288466,0.549747,-0.879084,0.344646,0.554494,-0.852681
33,0.275000,-0.000269,-0.000150,0.000332,1.000000,0.286917,0.552877,-0.837669,0.000054,0.227625,0.554412,-0.781258,0.903895,0.288449,0.549720,-0.879065,0.906763,0.344676,0.554499,-0.852686,0.863990,0.227650,0.554416,-0.781250,0.288484,0.549720,-0.879083,0.344623,0.554498,-0.852673
34,0.283333,-0.000174,-0.000118,0.000221,1.000000,0.286939,0.552874,-0.837672,0.000027,0.227651,0.554412,-0.781256,0.951042,0.288468,0.549724,-0.879068,0.944720,0.344698,0.554486,-0.852691,0.941673,0.227658,0.554414,-0.781247,0.288487,0.549724,-0.879080,0.344673,0.554485,-0.852686
35,0.291667,0.000003,-0.000057,0.000121,1.000000,0.286940,0.552871,-0.837664,0.000011,0.227659,0.554401,-0.781240,0.978229,0.288463,0.549735,-0.879061,0.970965,0.344697,0.554477,-0.852690,0.983437,0.227656,0.554405,-0.781238,0.288464,0.549734,-0.879077,0.344697,0.554477,-0.852675
36,0.300000,0.000036,-0.000078,0.000109,1.000000,0.286942,0.552877,-0.837668,0.000021,0.227659,0.554404,-0.781247,0.954768,0.288467,0.549744,-0.879066,0.973018,0.344700,0.554482,-0.852692,0.945801,0.227671,0.554404,-0.781255,0.288473,0.549744,-0.879067,0.344681,0.554482,-0.852682
37,0.308333,0.000053,-0.000003,0.000043,1.000000,0.286924,0.552894,-0.837662,0.000023,0.227650,0.554427,-0.781231,0.961250,0.288443,0.549762,-0.879059,0.964461,0.344680,0.554492,-0.852694,0.937229,0.227661,0.554428,-0.781233,0.288457,0.549761,-0.879066,0.344656,0.554489,-0.852689
38,0.316667,0.000091,-0.000115,0.000012,1.000000,0.286921,0.552885,-0.837672,0.000019,0.227634,0.554417,-0.781255,0.952227,0.288448,0.549756,-0.879070,0.948408,0.344680,0.554481,-0.852691,0.984976,0.227644,0.554415,-0.781267,0.288440,0.549758,-0.879044,0.344681,0.554480,-0.852708
39,0.325000,-0.000057,0.000077,0.000385,1.000000,0.286953,0.552861,-0.837680,0.000084,0.227687,0.554367,-0.781240,0.819607,0.288467,0.549722,-0.879077,0.889407,0.344706,0.554496,-0.852722,0.784444,0.227736,0.554367,-0.781274,0.288492,0.549723,-0.879081,0.344631,0.554495,-0.852685
40,0.333333,0.000207,0.000016,0.000165,1.000000,0.286921,0.552888,-0.837654,0.000058,0.227648,0.554389,-0.781221,0.860317,0.288438,0.549769,-0.879053,0.935929,0.344676,0.554505,-0.852688,0.858681,0.227683,0.554389,-0.781253,0.288451,0.549766,-0.879062,0.344628,0.554503,-0.852647
41,0.341667,-0.000032,-0.000071,0.000111,1.000000,0.286907,0.552901,-0.837651,0.000028,0.227625,0.554436,-0.781229,0.941818,0.288431,0.549763,-0.879048,0.963965,0.344665,0.554505,-0.852676,0.927405,0.227638,0.554439,-0.781234,0.288447,0.549762,-0.879064,0.344637,0.554505,-0.852657
42,0.350000,0.000045,-0.000097,-0.000016,1.000000,0.286916,0.552899,-0.837659,0.000015,0.227631,0.554440,-0.781240,0.978893,0.288442,0.549767,-0.879057,0.965109,0.344675,0.554491,-0.852681,0.964103,0.227623,0.554439,-0.781242,0.288436,0.549767,-0.879068,0.344687,0.554495,-0.852670
43,0.358333,0.000039,0.000106,0.000163,1.000000,0.286931,0.552873,-0.837660,0.000020,0.227669,0.554394,-0.781217,0.951333,0.288441,0.549741,-0.879058,0.985538,0.344683,0.554485,-0.852705,0.940477,0.227680,0.554396,-0.781235,0.288445,0.549738,-0.879079,0.344674,0.554485,-0.852668
44,0.366667,-0.000126,-0.000103,0.000294,1.000000,0.286905,0.552892,-0.837655,0.000044,0.227619,0.554416,-0.781237,0.923579,0.288433,0.549747,-0.879051,0.921199,0.344663,0.554514,-0.852676,0.889616,0.227636,0.554419,-0.781232,0.288462,0.549745,-0.879065,0.344620,0.554510,-0.852668
45,0.375000,0.000166,0.000018,0.000093,1.000000,0.286919,0.552875,-0.837664,0.000040,0.227647,0.554389,-0.781231,0.909148,0.288436,0.549753,-0.879063,0.949578,0.344675,0.554482,-0.852699,0.900181,0.227671,0.554389,-0.781250,0.288446,0.549753,-0.879066,0.344641,0.554482,-0.852678
46,0.383333,-0.000275,-0.000078,0.000208,1.000000,0.286919,0.552876,-0.837669,0.000050,0.227635,0.554427,-0.781249,0.921232,0.288444,0.549718,-0.879065,0.890789,0.344677,0.554484,-0.852694,0.888167,0.227648,0.554428,-0.781231,0.288480,0.549721,-0.879078,0.344629,0.554483,-0.852698
47,0.391667,0.000102,-0.000014,0.000035,1.000000,0.286958,0.552866,-0.837670,0.000026,0.227682,0.554395,-0.781241,0.948591,0.288477,0.549738,-0.879068,0.956414,0.344714,0.554465,-0.852701,0.939337,0.227696,0.554396,-0.781249,0.288483,0.549740,-0.879061,0.344694,0.554464,-0.852699
48,0.400000,-0.000161,-0.000071,0.000223,1.000000,0.286932,0.552887,-0.837656,0.000033,0.227649,0.554423,-0.781234,0.946512,0.288457,0.549738,-0.879052,0.948464,0.344689,0.554499,-0.852681,0.904826,0.227668,0.554424,-0.781238,0.288474,0.549740,-0.879051,0.344654,0.554498,-0.852679
49,0.408333,0.000179,-0.000001,-0.000053,1.000000,0.286924,0.552870,-0.837664,0.000030,0.227650,0.554400,-0.781233,0.917477,0.288441,0.549749,-0.879062,0.960709,0.344680,0.554461,-0.852696,0.941189,0.227666,0.554392,-0.781258,0.288435,0.549746,-0.879064,0.344668,0.554463,-0.852668
